Project,Task,Contributor,Date,Duration in minutes
PROJ-004,Bug Fixing,ACOGINT003,2025-06-27,101
PROJ-004,Analysis,ACOGINT002,2025-06-27,210
PROJ-003,Testing,ACOGINT002,2025-06-27,139
PROJ-002,Development,ACOGINT004,2025-06-27,79
PROJ-007,Meeting,ACOGINT005,2025-06-27,30
PROJ-001,Design,ACOGINT004,2025-06-27,114
PROJ-003,Documentation,ACOGINT005,2025-06-28,133
PROJ-005,Testing,ACOGINT002,2025-06-28,52
PROJ-004,Bug Fixing,ACOGINT002,2025-06-28,91
PROJ-003,Planning,ACOGINT003,2025-06-28,40
PROJ-004,Development,ACOGINT003,2025-06-28,176
PROJ-005,Bug Fixing,ACOGINT001,2025-06-28,79
PROJ-006,Planning,ACOGINT005,2025-06-28,77
PROJ-002,Documentation,ACOGINT004,2025-06-28,123
PROJ-002,Testing,ACOGINT001,2025-06-28,96
PROJ-005,Bug Fixing,ACOGINT005,2025-06-28,70
PROJ-002,Analysis,ACOGINT003,2025-06-29,268
PROJ-002,Planning,ACOGINT005,2025-06-29,121
PROJ-003,Testing,ACOGINT005,2025-06-29,144
PROJ-002,Documentation,ACOGINT004,2025-06-29,47
PROJ-007,Documentation,ACOGINT001,2025-06-29,110
PROJ-002,Analysis,ACOGINT002,2025-06-29,231
PROJ-007,Code Review,ACOGINT003,2025-06-29,141
PROJ-006,Code Review,ACOGINT005,2025-06-29,39
PROJ-003,Documentation,ACOGINT004,2025-06-29,95
PROJ-006,Analysis,ACOGINT001,2025-06-29,186
PROJ-005,Design,ACOGINT002,2025-06-29,41
PROJ-002,Testing,ACOGINT003,2025-06-29,181
PROJ-005,Documentation,ACOGINT004,2025-06-30,149
PROJ-005,Documentation,ACOGINT004,2025-06-30,140
PROJ-004,Analysis,ACOGINT003,2025-06-30,228
PROJ-007,Bug Fixing,ACOGINT004,2025-06-30,118
PROJ-005,Development,ACOGINT005,2025-06-30,73
PROJ-002,Meeting,ACOGINT004,2025-06-30,120
PROJ-002,Design,ACOGINT004,2025-06-30,40
PROJ-004,Meeting,ACOGINT003,2025-06-30,60
PROJ-003,Analysis,ACOGINT004,2025-06-30,145
PROJ-007,Testing,ACOGINT001,2025-06-30,144
PROJ-005,Development,ACOGINT005,2025-06-30,231
PROJ-004,Meeting,ACOGINT001,2025-06-30,30
PROJ-005,Bug Fixing,ACOGINT005,2025-06-30,96
PROJ-004,Planning,ACOGINT002,2025-06-30,30
PROJ-005,Design,ACOGINT003,2025-06-30,98
PROJ-003,Testing,ACOGINT002,2025-06-30,187
PROJ-003,Testing,ACOGINT005,2025-06-30,54
PROJ-006,Testing,ACOGINT004,2025-07-01,77
PROJ-001,Meeting,ACOGINT001,2025-07-01,90
PROJ-001,Documentation,ACOGINT004,2025-07-01,94
PROJ-002,Design,ACOGINT001,2025-07-01,127
PROJ-003,Testing,ACOGINT003,2025-07-01,31
PROJ-003,Testing,ACOGINT002,2025-07-01,66
PROJ-003,Development,ACOGINT005,2025-07-01,205
PROJ-004,Documentation,ACOGINT005,2025-07-01,33
PROJ-004,Development,ACOGINT002,2025-07-01,220
PROJ-004,Development,ACOGINT003,2025-07-01,202
PROJ-001,Development,ACOGINT002,2025-07-01,223
PROJ-003,Design,ACOGINT001,2025-07-01,140
PROJ-002,Design,ACOGINT002,2025-07-01,33
PROJ-007,Testing,ACOGINT001,2025-07-01,73
PROJ-006,Development,ACOGINT002,2025-07-02,259
PROJ-006,Documentation,ACOGINT001,2025-07-02,100
PROJ-003,Testing,ACOGINT003,2025-07-02,41
PROJ-005,Development,ACOGINT002,2025-07-02,135
PROJ-003,Development,ACOGINT002,2025-07-02,174
PROJ-006,Analysis,ACOGINT001,2025-07-02,271
PROJ-002,Design,ACOGINT005,2025-07-02,120
PROJ-004,Meeting,ACOGINT002,2025-07-02,120
PROJ-001,Meeting,ACOGINT002,2025-07-02,120
PROJ-005,Documentation,ACOGINT001,2025-07-02,131
PROJ-002,Bug Fixing,ACOGINT005,2025-07-02,81
PROJ-004,Meeting,ACOGINT004,2025-07-02,60
PROJ-004,Development,ACOGINT003,2025-07-02,137
PROJ-002,Code Review,ACOGINT004,2025-07-03,139
PROJ-006,Code Review,ACOGINT004,2025-07-03,92
PROJ-006,Analysis,ACOGINT002,2025-07-03,160
PROJ-004,Development,ACOGINT004,2025-07-03,128
PROJ-007,Planning,ACOGINT003,2025-07-03,97
PROJ-003,Development,ACOGINT004,2025-07-03,101
PROJ-006,Analysis,ACOGINT005,2025-07-03,157
PROJ-001,Code Review,ACOGINT005,2025-07-03,100
PROJ-004,Meeting,ACOGINT001,2025-07-03,30
PROJ-006,Testing,ACOGINT003,2025-07-03,106
PROJ-006,Development,ACOGINT003,2025-07-03,61
PROJ-006,Meeting,ACOGINT005,2025-07-03,30
PROJ-003,Planning,ACOGINT002,2025-07-03,63
PROJ-006,Bug Fixing,ACOGINT003,2025-07-04,130
PROJ-001,Code Review,ACOGINT001,2025-07-04,105
PROJ-005,Meeting,ACOGINT001,2025-07-04,90
PROJ-003,Development,ACOGINT005,2025-07-04,280
PROJ-003,Testing,ACOGINT004,2025-07-04,59
PROJ-007,Design,ACOGINT002,2025-07-04,126
PROJ-005,Analysis,ACOGINT005,2025-07-04,253
PROJ-004,Testing,ACOGINT002,2025-07-04,126
PROJ-002,Development,ACOGINT001,2025-07-04,75
PROJ-005,Planning,ACOGINT004,2025-07-04,128
PROJ-007,Meeting,ACOGINT001,2025-07-04,60
PROJ-006,Bug Fixing,ACOGINT003,2025-07-04,30
PROJ-001,Bug Fixing,ACOGINT003,2025-07-04,133
PROJ-006,Testing,ACOGINT004,2025-07-04,133
PROJ-002,Testing,ACOGINT004,2025-07-05,102
PROJ-003,Documentation,ACOGINT005,2025-07-05,75
PROJ-001,Code Review,ACOGINT005,2025-07-05,43
PROJ-007,Development,ACOGINT001,2025-07-05,269
PROJ-007,Bug Fixing,ACOGINT002,2025-07-05,139
PROJ-001,Code Review,ACOGINT002,2025-07-05,79
PROJ-005,Meeting,ACOGINT001,2025-07-05,120
PROJ-004,Documentation,ACOGINT003,2025-07-05,47
PROJ-006,Testing,ACOGINT005,2025-07-05,94
PROJ-004,Development,ACOGINT002,2025-07-05,176
PROJ-003,Development,ACOGINT002,2025-07-05,238
PROJ-006,Meeting,ACOGINT004,2025-07-06,120
PROJ-001,Testing,ACOGINT003,2025-07-06,127
PROJ-007,Analysis,ACOGINT001,2025-07-06,278
PROJ-005,Planning,ACOGINT004,2025-07-06,137
PROJ-004,Meeting,ACOGINT005,2025-07-06,60
PROJ-002,Analysis,ACOGINT005,2025-07-06,167
PROJ-001,Testing,ACOGINT004,2025-07-06,89
PROJ-006,Documentation,ACOGINT004,2025-07-06,64
PROJ-001,Meeting,ACOGINT003,2025-07-06,30
PROJ-004,Code Review,ACOGINT004,2025-07-06,56
PROJ-001,Documentation,ACOGINT001,2025-07-06,97
PROJ-005,Bug Fixing,ACOGINT003,2025-07-06,138
PROJ-004,Development,ACOGINT003,2025-07-06,116
PROJ-001,Meeting,ACOGINT003,2025-07-06,90
PROJ-007,Code Review,ACOGINT001,2025-07-07,74
PROJ-001,Design,ACOGINT001,2025-07-07,113
PROJ-005,Testing,ACOGINT003,2025-07-07,75
PROJ-002,Development,ACOGINT001,2025-07-07,178
PROJ-007,Meeting,ACOGINT002,2025-07-07,120
PROJ-006,Development,ACOGINT001,2025-07-07,186
PROJ-001,Design,ACOGINT002,2025-07-07,110
PROJ-004,Analysis,ACOGINT003,2025-07-07,221
PROJ-004,Planning,ACOGINT003,2025-07-07,56
PROJ-004,Bug Fixing,ACOGINT002,2025-07-08,63
PROJ-006,Meeting,ACOGINT005,2025-07-08,120
PROJ-001,Bug Fixing,ACOGINT004,2025-07-08,87
PROJ-006,Bug Fixing,ACOGINT001,2025-07-08,33
PROJ-003,Documentation,ACOGINT003,2025-07-08,138
PROJ-006,Design,ACOGINT005,2025-07-08,93
PROJ-007,Analysis,ACOGINT002,2025-07-08,134
PROJ-007,Bug Fixing,ACOGINT005,2025-07-08,82
PROJ-006,Analysis,ACOGINT005,2025-07-08,284
PROJ-006,Design,ACOGINT001,2025-07-08,42
PROJ-003,Testing,ACOGINT001,2025-07-08,48
PROJ-005,Design,ACOGINT002,2025-07-08,56
PROJ-005,Analysis,ACOGINT002,2025-07-08,226
PROJ-004,Development,ACOGINT005,2025-07-08,216
PROJ-005,Meeting,ACOGINT005,2025-07-08,30
PROJ-001,Design,ACOGINT005,2025-07-09,130
PROJ-007,Bug Fixing,ACOGINT005,2025-07-09,100
PROJ-002,Code Review,ACOGINT002,2025-07-09,115
PROJ-002,Planning,ACOGINT004,2025-07-09,47
PROJ-006,Analysis,ACOGINT004,2025-07-09,64
PROJ-004,Development,ACOGINT005,2025-07-09,61
PROJ-001,Meeting,ACOGINT001,2025-07-09,60
PROJ-007,Testing,ACOGINT002,2025-07-09,82
PROJ-003,Planning,ACOGINT001,2025-07-09,83
PROJ-007,Bug Fixing,ACOGINT002,2025-07-10,38
PROJ-007,Planning,ACOGINT005,2025-07-10,67
PROJ-007,Code Review,ACOGINT002,2025-07-10,55
PROJ-003,Planning,ACOGINT003,2025-07-10,148
PROJ-003,Code Review,ACOGINT001,2025-07-10,128
PROJ-001,Code Review,ACOGINT004,2025-07-10,73
PROJ-003,Meeting,ACOGINT004,2025-07-10,90
PROJ-001,Design,ACOGINT001,2025-07-10,144
PROJ-003,Bug Fixing,ACOGINT001,2025-07-10,87
